,J,Q,Delta1,Delta2,Delta3,Delta4,lambda_2,lambda_3
20,-0.1,0.5,-0.01,-0.6666666666666667,-3.0,6.0,(2.1000000000000005+1.2369316876852947j),(2.1000000000000005-1.2369316876852947j)
21,-0.1,0.5,-0.01,-0.6666666666666667,-1.5,3.0,(7.470754136990448+0j),(-3.2707541369904467+0j)
22,-0.1,0.5,-0.01,-0.6666666666666667,-1.5,4.5,(2.1000000000000005+5.648451115128818j),(2.1000000000000005-5.648451115128818j)
23,-0.1,0.5,-0.01,-0.6666666666666667,-1.5,6.0,(2.1000000000000005+9.625746724280667j),(2.1000000000000005-9.625746724280667j)
24,-0.1,0.5,-0.01,-0.6666666666666667,0.0,3.0,(2.1000000000000005+7.891767862779543j),(2.1000000000000005-7.891767862779543j)
25,-0.1,0.5,-0.01,-0.6666666666666667,0.0,4.5,(2.1000000000000005+11.09188892840169j),(2.1000000000000005-11.09188892840169j)
26,-0.1,0.5,-0.01,-0.6666666666666667,0.0,6.0,(2.1000000000000005+13.556548233234004j),(2.1000000000000005-13.556548233234004j)
27,-0.1,0.5,-0.01,0.0,-3.0,3.0,(10.22219182240853+0j),(-6.022191822408529+0j)
28,-0.1,0.5,-0.01,0.0,-3.0,4.5,(4.38473193175917+0j),(-0.1847319317591687+0j)
29,-0.1,0.5,-0.01,0.0,-3.0,6.0,(2.1000000000000005+7.451845409024533j),(2.1000000000000005-7.451845409024533j)
30,-0.1,0.5,-0.01,0.0,-1.5,3.0,(2.1000000000000005+5.015476049190146j),(2.1000000000000005-5.015476049190146j)
31,-0.1,0.5,-0.01,0.0,-1.5,4.5,(2.1000000000000005+9.268495023465244j),(2.1000000000000005-9.268495023465244j)
32,-0.1,0.5,-0.01,0.0,-1.5,6.0,(2.1000000000000005+12.110119735163645j),(2.1000000000000005-12.110119735163645j)
33,-0.1,0.5,-0.01,0.0,0.0,3.0,(2.1000000000000005+10.783320453366857j),(2.1000000000000005-10.783320453366857j)
34,-0.1,0.5,-0.01,0.0,0.0,4.5,(2.1000000000000005+13.305262116922012j),(2.1000000000000005-13.305262116922012j)
35,-0.1,0.5,-0.01,0.0,0.0,6.0,(2.1000000000000005+15.420116731075677j),(2.1000000000000005-15.420116731075677j)
36,-0.1,0.5,-0.005,-2.0,-3.0,3.0,(17.18525770412955+0j),(-12.985257704129552+0j)
37,-0.1,0.5,-0.005,-2.0,-3.0,4.5,(15.015688134977555+0j),(-10.815688134977556+0j)
38,-0.1,0.5,-0.005,-2.0,-3.0,6.0,(12.398786336263122+0j),(-8.198786336263122+0j)
39,-0.1,0.5,-0.005,-2.0,-1.5,3.0,(13.780753400359071+0j),(-9.580753400359072+0j)
40,-0.1,0.5,-0.005,-2.0,-1.5,4.5,(10.8+0j),(-6.599999999999999+0j)
41,-0.1,0.5,-0.005,-2.0,-1.5,6.0,(5.965229618017537+0j),(-1.765229618017536+0j)
42,-0.1,0.5,-0.005,-2.0,0.0,3.0,(8.831641701695062+0j),(-4.631641701695062+0j)
43,-0.1,0.5,-0.005,-2.0,0.0,4.5,(2.1000000000000005+3.9287402561126394j),(2.1000000000000005-3.9287402561126394j)
44,-0.1,0.5,-0.005,-2.0,0.0,6.0,(2.1000000000000005+8.728401915585694j),(2.1000000000000005-8.728401915585694j)
45,-0.1,0.5,-0.005,-1.3333333333333335,-3.0,3.0,(15.274407007527891+0j),(-11.074407007527892+0j)
46,-0.1,0.5,-0.005,-1.3333333333333335,-3.0,4.5,(12.721440580260289+0j),(-8.521440580260286+0j)
47,-0.1,0.5,-0.005,-1.3333333333333335,-3.0,6.0,(9.315608082483417+0j),(-5.115608082483416+0j)
48,-0.1,0.5,-0.005,-1.3333333333333335,-1.5,3.0,(11.179647570252936+0j),(-6.979647570252934+0j)
49,-0.1,0.5,-0.005,-1.3333333333333335,-1.5,4.5,(6.757252408878008+0j),(-2.557252408878007+0j)
50,-0.1,0.5,-0.005,-1.3333333333333335,-1.5,6.0,(2.1000000000000005+6.249799996799897j),(2.1000000000000005-6.249799996799897j)
51,-0.1,0.5,-0.005,-1.3333333333333335,0.0,3.0,(2.1000000000000005+2.947032405658274j),(2.1000000000000005-2.947032405658274j)
52,-0.1,0.5,-0.005,-1.3333333333333335,0.0,4.5,(2.1000000000000005+8.33276664739869j),(2.1000000000000005-8.33276664739869j)
53,-0.1,0.5,-0.005,-1.3333333333333335,0.0,6.0,(2.1000000000000005+11.409864153441967j),(2.1000000000000005-11.409864153441967j)
54,-0.1,0.5,-0.005,-0.6666666666666667,-3.0,3.0,(13.034578181164559+0j),(-8.834578181164556+0j)
55,-0.1,0.5,-0.005,-0.6666666666666667,-3.0,4.5,(9.769093818698533+0j),(-5.569093818698531+0j)
56,-0.1,0.5,-0.005,-0.6666666666666667,-3.0,6.0,(2.1000000000000005+1.3910427743243494j),(2.1000000000000005-1.3910427743243494j)
57,-0.1,0.5,-0.005,-0.6666666666666667,-1.5,3.0,(7.432916650389355+0j),(-3.2329166503893543+0j)
58,-0.1,0.5,-0.005,-0.6666666666666667,-1.5,4.5,(2.1000000000000005+5.684188596448923j),(2.1000000000000005-5.684188596448923j)
59,-0.1,0.5,-0.005,-0.6666666666666667,-1.5,6.0,(2.1000000000000005+9.646761114488115j),(2.1000000000000005-9.646761114488115j)
60,-0.1,0.5,-0.005,-0.6666666666666667,0.0,3.0,(2.1000000000000005+7.9173859322379885j),(2.1000000000000005-7.9173859322379885j)
61,-0.1,0.5,-0.005,-0.6666666666666667,0.0,4.5,(2.1000000000000005+11.110130512284723j),(2.1000000000000005-11.110130512284723j)
